id,name,acronym,vendor,domain,level,price_usd,currency_note,duration_min,validity_years,prerequisites,dod_8140,url,description,tags,weight,restricted_to,exam_count,renewal_cost,hands_on
sec-plus,CompTIA Security+,Security+,CompTIA,Security & Risk Management,beginner,392,,90,3,,true,https://www.comptia.org/certifications/security,Foundational vendor-neutral cybersecurity certification covering core concepts and hands-on skills.,foundational;vendor-neutral,8,,1,,false
net-plus,CompTIA Network+,Network+,CompTIA,Communication & Network Security,beginner,369,,90,3,,true,https://www.comptia.org/certifications/network,"Foundational networking certification covering protocols, topologies and basic security.",networking;foundational,5,,1,,false
a-plus,CompTIA A+,A+,CompTIA,Asset Security,beginner,253,Per exam (2 required),90,3,,false,https://www.comptia.org/certifications/a,Entry-level IT support certification covering hardware and operating systems.,foundational;help-desk,5,,2,,false
cysa-plus,CompTIA CySA+,CySA+,CompTIA,Security Operations,intermediate,404,,165,3,sec-plus,true,https://www.comptia.org/certifications/cybersecurity-analyst,Behavioral analytics certification for SOC analysts and threat hunters.,blue-team;soc,5,,1,,false
pentest-plus,CompTIA PenTest+,PenTest+,CompTIA,Penetration Testing,intermediate,404,,165,3,sec-plus,true,https://www.comptia.org/certifications/pentest,Vendor-neutral penetration testing certification with hands-on simulations.,red-team;hands-on,5,,1,,true
casp-plus,CompTIA SecurityX,CASP+,CompTIA,Security Architecture & Engineering,advanced,509,Formerly CASP+,165,3,sec-plus,true,https://www.comptia.org/certifications/securityx,Advanced security practitioner certification covering enterprise security architecture.,architecture;senior,5,,1,,false
cloud-plus,CompTIA Cloud+,Cloud+,CompTIA,Cloud/SysOps,intermediate,369,,90,3,,false,https://www.comptia.org/certifications/cloud,Vendor-neutral cloud infrastructure and operations certification.,cloud;ops,5,,1,,false
linux-plus,CompTIA Linux+,Linux+,CompTIA,*nix,beginner,369,,90,3,,false,https://www.comptia.org/certifications/linux,Vendor-neutral Linux system administration certification.,linux;sysadmin,5,,1,,false
cissp,Certified Information Systems Security Professional,CISSP,ISC2,Security & Risk Management,expert,749,,240,3,,true,https://www.isc2.org/Certifications/CISSP,Gold-standard cybersecurity certification covering 8 domains; requires 5 years experience.,management;senior,10,,1,,false
ccsp,Certified Cloud Security Professional,CCSP,ISC2,Cloud/SysOps,expert,599,,240,3,,true,https://www.isc2.org/Certifications/CCSP,Cloud security architecture and operations certification; requires 5 years experience.,cloud;architecture,10,,1,,false
sscp,Systems Security Certified Practitioner,SSCP,ISC2,Security Operations,intermediate,249,,180,3,,true,https://www.isc2.org/Certifications/SSCP,Hands-on security operations certification for IT administrators.,ops;administrator,5,,1,,false
cc,Certified in Cybersecurity,CC,ISC2,Security & Risk Management,beginner,0,Free for first cert via ISC2 1MCC initiative,120,3,,false,https://www.isc2.org/certifications/cc,Entry-level cybersecurity certification covering foundational security principles.,foundational;free-option,6,,1,,false
cgrc,Certified in Governance Risk and Compliance,CGRC,ISC2,GRC,advanced,599,Formerly CAP,180,3,,true,https://www.isc2.org/Certifications/CGRC,Risk management framework certification for GRC professionals.,grc;risk,5,,1,,false
csslp,Certified Secure Software Lifecycle Professional,CSSLP,ISC2,Software Security,expert,599,,240,3,,true,https://www.isc2.org/Certifications/CSSLP,Secure software development lifecycle certification for developers and architects.,appsec;sdlc,8,,1,,false
cism,Certified Information Security Manager,CISM,ISACA,GRC,expert,575,Members $760 non-members,240,3,,true,https://www.isaca.org/credentialing/cism,Information security management certification focused on governance and program management.,management;grc,9,,1,,false
cisa,Certified Information Systems Auditor,CISA,ISACA,GRC,expert,575,Members $760 non-members,240,3,,true,https://www.isaca.org/credentialing/cisa,Information systems audit certification; the standard for IT auditors.,audit;grc,8,,1,,false
crisc,Certified in Risk and Information Systems Control,CRISC,ISACA,GRC,expert,575,Members $760 non-members,240,3,,false,https://www.isaca.org/credentialing/crisc,Enterprise risk management certification for risk and control professionals.,risk;grc,7,,1,,false
cgeit,Certified in the Governance of Enterprise IT,CGEIT,ISACA,GRC,expert,575,Members $760 non-members,240,3,,false,https://www.isaca.org/credentialing/cgeit,Executive-level IT governance certification.,governance;executive,10,,1,,false
oscp,OffSec Certified Professional (OSCP+),OSCP+,OffSec,Penetration Testing,advanced,1749,Course + cert bundle; exam retake $249,1440,3,,true,https://www.offsec.com/courses/pen-200/,Hands-on 24-hour penetration testing exam; industry-respected red team credential.,red-team;hands-on,10,,1,,true
osep,Offensive Security Experienced Penetration Tester,OSEP,OffSec,Penetration Testing,expert,1649,Includes 90-day lab + exam,2880,3,oscp,false,https://www.offsec.com/courses/pen-300/,Advanced evasion and bypass techniques for mature defensive environments.,red-team;evasion,10,,1,,false
osed,Offensive Security Exploit Developer,OSED,OffSec,Exploitation,expert,1649,Includes 90-day lab + exam,2880,3,,false,https://www.offsec.com/courses/exp-301/,Windows exploit development certification covering buffer overflows and shellcode.,exploit-dev;windows,8,,1,,false
osce3,Offensive Security Certified Expert 3,OSCE3,OffSec,Exploitation,expert,0,Awarded for holding OSEP+OSED+OSWE,0,0,osep;osed;oswe,false,https://www.offsec.com/courses/osce3/,"Aggregate credential awarded for completing OSEP, OSED and OSWE.",red-team;senior,5,,1,,false
oswe,Offensive Security Web Expert,OSWE,OffSec,Software Security,expert,1649,Includes 90-day lab + exam,2880,3,,false,https://www.offsec.com/courses/web-300/,Advanced web application exploitation and white-box code review certification.,appsec;web,10,,1,,false
osda,Offensive Security Defense Analyst,OSDA,OffSec,Security Operations,intermediate,1649,Includes 90-day lab + exam,1440,3,,false,https://www.offsec.com/courses/soc-200/,Blue team detection and SOC analyst certification from OffSec.,blue-team;soc,9,,1,,false
gsec,GIAC Security Essentials,GSEC,GIAC,Security & Risk Management,intermediate,999,Exam only; with SANS course much higher,300,4,,true,https://www.giac.org/certifications/security-essentials-gsec/,Hands-on foundational security certification from GIAC.,foundational;hands-on,9,,1,,true
gpen,GIAC Penetration Tester,GPEN,GIAC,Penetration Testing,advanced,999,Exam only,180,4,,true,https://www.giac.org/certifications/penetration-tester-gpen/,Penetration testing methodology and exploitation certification.,red-team,5,,1,,false
gwapt,GIAC Web Application Penetration Tester,GWAPT,GIAC,Software Security,advanced,999,Exam only,180,4,,false,https://www.giac.org/certifications/web-application-penetration-tester-gwapt/,Web application penetration testing certification.,appsec;web,5,,1,,false
gcih,GIAC Certified Incident Handler,GCIH,GIAC,Incident Handling,intermediate,999,Exam only,240,4,,true,https://www.giac.org/certifications/certified-incident-handler-gcih/,Incident response and handler certification covering attacker techniques and IR process.,blue-team;ir,5,,1,,false
gcfa,GIAC Certified Forensic Analyst,GCFA,GIAC,Forensics,advanced,999,Exam only,180,4,,true,https://www.giac.org/certifications/certified-forensic-analyst-gcfa/,Advanced digital forensics and incident response certification.,forensics;dfir,9,,1,,false
gcfe,GIAC Certified Forensic Examiner,GCFE,GIAC,Forensics,intermediate,999,Exam only,180,4,,true,https://www.giac.org/certifications/certified-forensic-examiner-gcfe/,Windows forensic examiner certification.,forensics;windows,8,,1,,false
grem,GIAC Reverse Engineering Malware,GREM,GIAC,Forensics,expert,999,Exam only,180,4,,false,https://www.giac.org/certifications/reverse-engineering-malware-grem/,Malware reverse engineering certification.,malware;reverse-engineering,10,,1,,false
gxpn,GIAC Exploit Researcher and Advanced Penetration Tester,GXPN,GIAC,Exploitation,expert,999,Exam only,180,4,,false,https://www.giac.org/certifications/exploit-researcher-advanced-penetration-tester-gxpn/,Advanced exploitation and exploit development certification.,exploit-dev,6,,1,,false
gsna,GIAC Systems and Network Auditor,GSNA,GIAC,GRC,advanced,999,Exam only,180,4,,false,https://www.giac.org/certifications/systems-network-auditor-gsna/,Technical IT audit certification.,audit,5,,1,,false
ceh,Certified Ethical Hacker,CEH,EC-Council,Penetration Testing,intermediate,1199,,240,3,,true,https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/,Broad ethical hacking certification covering attack methodology.,red-team,8,,1,,false
chfi,Computer Hacking Forensic Investigator,CHFI,EC-Council,Forensics,intermediate,650,,240,3,,true,https://www.eccouncil.org/programs/computer-hacking-forensic-investigator-chfi/,Digital forensics investigation certification.,forensics,7,,1,,false
ecih,EC-Council Certified Incident Handler,ECIH,EC-Council,Incident Handling,intermediate,499,,180,3,,true,https://www.eccouncil.org/programs/ec-council-certified-incident-handler-ecih/,Incident handling and response certification.,ir,5,,1,,false
lpt,Licensed Penetration Tester Master,LPT,EC-Council,Penetration Testing,expert,2199,,1080,3,ceh,false,https://www.eccouncil.org/programs/licensed-penetration-tester-lpt-master/,18-hour hands-on penetration testing exam.,red-team;hands-on,9,,1,,true
crto,Certified Red Team Operator,CRTO,Zero-Point Security,Penetration Testing,advanced,499,Includes lab access,2880,0,,false,https://training.zeropointsecurity.co.uk/courses/red-team-ops,Hands-on red team operations certification covering Cobalt Strike tradecraft.,red-team;c2,5,,1,,false
crte,Certified Red Team Expert,CRTE,Altered Security,Penetration Testing,expert,279,Includes lab access,2880,0,,false,https://www.alteredsecurity.com/redteamlabs,Hands-on Active Directory red team certification.,red-team;active-directory,8,,1,,false
pnpt,Practical Network Penetration Tester,PNPT,TCM Security,Penetration Testing,intermediate,499,Includes course bundle,5760,3,,false,https://certifications.tcm-sec.com/pnpt/,Practical 5-day penetration test with report deliverable.,red-team;hands-on,5,,1,,true
cpts,HTB Certified Penetration Testing Specialist,CPTS,Hack The Box,Penetration Testing,advanced,210,,4320,3,,false,https://www.hackthebox.com/hacker/certifications/cpts,Hands-on penetration testing certification with 7-day exam and report.,red-team;hands-on,9,,1,,true
cbbh,HTB Certified Bug Bounty Hunter,CBBH,Hack The Box,Software Security,intermediate,210,,4320,3,,false,https://www.hackthebox.com/hacker/certifications/cbbh,Hands-on bug bounty and web application testing certification.,appsec;bug-bounty,5,,1,,false
